 334 0, 2259810, 3474392, 2449052, 1123355, 1924867, 1222125, 921
 335 0, 2259664, 3474340, 2448902, 1123209, 1924815, 1221975, 921
 336 0, 2259825, 3474505, 2448504, 1123370, 1924980, 1221577, 921
 337 0, 2260035, 3474780, 2448119, 1123580, 1925255, 1221192, 921
 338 0, 2260041, 3474838, 2447988, 1123586, 1925313, 1221061, 921
 339 0, 2259997, 3474971, 2447701, 1123542, 1925446, 1220774, 921
 340 0, 2260145, 3475055, 2447442, 1123690, 1925530, 1220515, 921
 341 0, 2260418, 3475137, 2447134, 1123963, 1925612, 1220207, 921
 342 0, 2260657, 3475253, 2447073, 1124202, 1925728, 1220146, 921
 343 0, 2260961, 3475315, 2446868, 1124506, 1925790, 1219941, 921
 344 0, 2261179, 3475343, 2446757, 1124724, 1925818, 1219830, 921
 345 0, 2261456, 3475575, 2446549, 1125001, 1926050, 1219622, 921
 346 0, 2261778, 3475685, 2446326, 1125323, 1926160, 1219399, 921
 347 0, 2262274, 3475976, 2445709, 1125819, 1926451, 1218782, 921
 348 0, 2262457, 3476041, 2445410, 1126002, 1926516, 1218483, 921
 349 0, 2262425, 3476070, 2445413, 1125970, 1926545, 1218486, 921
 350 0, 2262390, 3475995, 2445370, 1125935, 1926470, 1218443, 921
 351 0, 2262368, 3476160, 2445295, 1125913, 1926635, 1218368, 921
 352 0, 2262324, 3476333, 2444942, 1125869, 1926808, 1218015, 921
 353 0, 2262727, 3476405, 2444525, 1126272, 1926880, 1217598, 921
 354 0, 2263207, 3476673, 2444210, 1126752, 1927148, 1217283, 921
 355 0, 2263121, 3476637, 2444325, 1126666, 1927112, 1217398, 921
 356 0, 2262607, 3476438, 2444264, 1126152, 1926913, 1217337, 921
 357 0, 2262198, 3476431, 2444268, 1125743, 1926906, 1217341, 921
 358 0, 2262299, 3476652, 2444165, 1125844, 1927127, 1217238, 921
 359 0, 2262307, 3476687, 2444098, 1125852, 1927162, 1217171, 921
 360 0, 2262305, 3476705, 2444028, 1125850, 1927180, 1217101, 921
 361 0, 2262555, 3476731, 2443933, 1126100, 1927206, 1217006, 921
 362 0, 2262466, 3476858, 2443724, 1126011, 1927333, 1216797, 921
 363 0, 2262096, 3476627, 2443511, 1125641, 1927102, 1216584, 920
 364 0, 2262012, 3476721, 2443231, 1125557, 1927196, 1216304, 920
 365 0, 2261672, 3476801, 2442942, 1125217, 1927276, 1216015, 920
 366 0, 2261604, 3476651, 2442742, 1125149, 1927126, 1215815, 920
 367 0, 2261946, 3476597, 2442993, 1125491, 1927072, 1216066, 920
 368 0, 2262027, 3476675, 2442964, 1125572, 1927150, 1216037, 920
 369 0, 2261533, 3476501, 2442639, 1125078, 1926976, 1215712, 920
 370 0, 2260959, 3476507, 2442126, 1124504, 1926982, 1215199, 920
 371 0, 2260131, 3476162, 2441336, 1123676, 1926637, 1214409, 919
 372 0, 2259439, 3475476, 2440389, 1122984, 1925951, 1213462, 919
 373 0, 2259301, 3471811, 2439723, 1122846, 1922286, 1212796, 918
 374 0, 2259657, 3463624, 2439381, 1123202, 1914099, 1212454, 917
